doc_id,adj_token_id,noun_token_id,sentence,adj_token,noun_token,adj_lemma,noun_lemma,prenominal
3354,2,3,a big girl,big,girl,big,girl,TRUE
3390,2,4,r l little r l what begins with r l,l,r,l,r,FALSE
3390,3,4,r l little r l what begins with r l,little,r,little,r,TRUE
3403,6,7,i xxx make them more xxx,more,x,more,x,TRUE
3406,3,4,is this better mama,better,mama,better,mama,TRUE
3459,2,3,a thin one,thin,one,thin,one,TRUE
3463,4,5,look at the other one,other,one,other,one,TRUE
3488,3,5,now only few more pieces,few,pieces,few,piece,FALSE
3488,4,5,now only few more pieces,more,pieces,more,piece,TRUE
3503,3,5,now a few more pieces over here and over here,few,pieces,few,piece,FALSE
3503,4,5,now a few more pieces over here and over here,more,pieces,more,piece,TRUE
3519,3,5,we have few more pieces right here and over here xxx,few,pieces,few,piece,FALSE
3519,4,5,we have few more pieces right here and over here xxx,more,pieces,more,piece,TRUE
3560,1,2,smarty pants,smarty,pants,smarty,pants,TRUE
3581,2,3,the little pig and this is xxx,little,pig,little,pig,TRUE
3605,4,5,it's still xxx ones,x,xx,x,xx,TRUE
3696,1,3,maisy's_bedtime,maisy,s_bedtime,maisy,s_bedtime,FALSE
3706,1,2,maisy sleepy,maisy,sleepy,maisy,sleepy,TRUE
3708,5,6,and that's me other book,other,book,other,book,TRUE
3748,2,3,what white things,white,things,white,thing,TRUE
3750,1,3,um xxx from trees,um,xx,um,xx,FALSE
3780,1,2,last time zevvy was in school was in school and he learned how to read,last,time,last,time,TRUE
3783,5,6,and this is a mud water,mud,water,mud,water,TRUE
3785,3,4,this is dirty water,dirty,water,dirty,water,TRUE
3787,2,3,oh dirty water,dirty,water,dirty,water,TRUE
3805,1,2,uh mama,uh,mama,uh,mama,TRUE
3830,3,4,then the curvy thing here,curvy,thing,curvy,thing,TRUE
3845,10,11,i don't have it how to do the other one,other,one,other,one,TRUE
3846,6,7,a xxx find the other one,other,one,other,one,TRUE
3847,8,9,maybe i can i can find the other one,other,one,other,one,TRUE
3897,6,7,oh i want to get xxx,x,xx,x,xx,TRUE
3914,3,4,or a baby girl,baby,girl,baby,girl,TRUE
3975,4,5,this why it xxx there,x,xx,x,xx,TRUE
3993,2,3,is xxx here,x,xx,x,xx,TRUE
4008,3,4,i have more food xxx,more,food,more,food,TRUE
4011,4,5,but i have more stuff in my bag,more,stuff,more,stuff,TRUE
4031,5,6,but where's the red cup,red,cup,red,cup,TRUE
4032,4,5,where's the red cup mama,red,cup,red,cup,TRUE
4041,7,8,but i can't find the other thing,other,thing,other,thing,TRUE
4062,5,6,oh here's the red cup,red,cup,red,cup,TRUE
4067,1,2,okay mama,okay,mama,okay,mama,TRUE
4070,1,4,okay xxx mama,okay,mama,okay,mama,FALSE
4081,4,5,there's a little bit,little,bit,little,bit,TRUE
4092,1,3,first xxx,first,xx,first,xx,FALSE
4140,6,7,it's it's a white wipe,white,wipe,white,wipe,TRUE
4141,2,3,a soft wipe,soft,wipe,soft,wipe,TRUE
4142,3,4,these are soft wipes,soft,wipes,soft,wipe,TRUE
4143,3,4,these are soft wipes,soft,wipes,soft,wipe,TRUE
4151,8,9,so it i'll go get a high chair,high,chair,high,chair,TRUE
4154,2,4,my big xxx of that xxx the bag,big,xx,big,xx,FALSE
4158,4,7,i need a little xxx chair,little,chair,little,chair,FALSE
4159,4,5,i need a little chair,little,chair,little,chair,TRUE
4168,6,7,xxx get to sit the blue table,blue,table,blue,table,TRUE
4178,5,6,i move this in okay mama,okay,mama,okay,mama,TRUE
4184,5,6,see it's a little bit sauce xxx,little,bit,little,bit,TRUE
4194,3,4,only a big girl,big,girl,big,girl,TRUE
4197,2,3,the bigger chair,bigger,chair,bigger,chair,TRUE
4208,1,2,little bit,little,bit,little,bit,TRUE
4239,4,5,the purple the purple stick,purple,stick,purple,stick,TRUE
4240,1,2,um oh here's the,um,oh,um,oh,TRUE
4254,6,7,or the soup and the hot soup,hot,soup,hot,soup,TRUE
4256,2,3,your favorite soup,favorite,soup,favorite,soup,TRUE
4323,2,3,one big toe,big,toe,big,toe,TRUE
4324,3,4,and two big toes,big,toes,big,toe,TRUE
4329,4,5,molly's the big one broke off,big,one,big,one,TRUE
4330,3,5,molly's other big toe,other,toe,other,toe,FALSE
4330,4,5,molly's other big toe,big,toe,big,toe,TRUE
4332,7,11,yeah but her she scratched her other big one nail um,other,um,other,um,FALSE
4332,8,11,yeah but her she scratched her other big one nail um,big,um,big,um,FALSE
4338,5,4,but it was blood right,right,blood,right,blood,FALSE
4350,3,5,like a little xxx,little,xx,little,xx,FALSE
4357,3,4,i'm xxx under myself,x,xx,x,xx,TRUE
4369,2,3,a new house,new,house,new,house,TRUE
4373,3,4,are you hot mama,hot,mama,hot,mama,TRUE
4399,4,5,i got a better idea,better,idea,better,idea,TRUE
4406,3,4,i got better idea mama,better,idea,better,idea,TRUE
4408,3,4,and a better idea,better,idea,better,idea,TRUE
4412,4,7,i'm a little bit xxx back in my xxx,little,xx,little,xx,FALSE
4430,1,2,h l for hat,h,l,h,l,TRUE
4450,1,3,um six foot,um,foot,um,foot,FALSE
4466,1,2,l l,l,l,l,l,TRUE
4467,2,3,and l l and oops,l,l,l,l,TRUE
4469,1,2,um bats,um,bats,um,bat,TRUE
4503,1,3,um xxx,um,xx,um,xx,FALSE
4506,3,4,i'm hot mama,hot,mama,hot,mama,TRUE
4512,1,2,other ones,other,ones,other,one,TRUE
4518,3,4,are you hot mama,hot,mama,hot,mama,TRUE
4539,4,6,i have a better idea mom,better,mom,better,mom,FALSE
4554,3,4,are you hot mama,hot,mama,hot,mama,TRUE
4575,2,3,the other ones broke off,other,ones,other,one,TRUE
4606,1,3,oscar xxx,oscar,xx,oscar,xx,FALSE
4671,8,9,but i can charge it and a different one,different,one,different,one,TRUE
4673,4,5,i have a big one,big,one,big,one,TRUE
4694,6,7,i know why it's big mama,big,mama,big,mama,TRUE
4703,11,12,it is this is going to be a loud loud loud noise,loud,noise,loud,noise,TRUE
4704,7,8,this is going to be a loud noise mama,loud,noise,loud,noise,TRUE
4710,4,6,where is xxx purse purse,xx,purse,xx,purse,FALSE
4713,3,5,my very special xxx,special,xx,special,xx,FALSE
4736,1,3,um xxx they go back home when they're not at work,um,xx,um,xx,FALSE
4765,10,11,probably got ripped xxx because i was too much different,much,different,much,different,TRUE
4774,2,4,so xxx lady don't want to want to play the purse so they put it in the box boxes so they can carry them,x,lady,x,lady,FALSE
4776,3,4,i got better idea,better,idea,better,idea,TRUE
4799,20,21,xxx say i have to keep it at school camp because it's going to be at my new house,new,house,new,house,TRUE
4805,4,5,so i was xxx,x,xx,x,xx,TRUE
4813,3,4,wait a second mama,second,mama,second,mama,TRUE
4857,1,3,sparky kitty cat,sparky,cat,sparky,cat,FALSE
4911,3,4,rhinoceros hippopotamus bear lion,bear,lion,bear,lion,TRUE
4912,1,2,um zebra,um,zebra,um,zebra,TRUE
4923,1,2,little toothpicks,little,toothpicks,little,toothpick,TRUE
4959,7,8,this is going to be so cool mama,cool,mama,cool,mama,TRUE
4968,10,11,is it it's a isn't it a beautiful butter fly,beautiful,butter,beautiful,butter,TRUE
4997,4,5,this is a good idea,good,idea,good,idea,TRUE
5022,1,3,um xxx off,um,xx,um,xx,FALSE
5027,4,6,this is a special xxx for wiping off the the dry off the table,special,xx,special,xx,FALSE
5028,4,5,this is how xxx to clean the table,x,xx,x,xx,TRUE
5031,7,8,but i need xxx a little time,little,time,little,time,TRUE
5044,6,8,that was a really really helpful xxx,helpful,xx,helpful,xx,FALSE
5061,3,4,xxx next page,next,page,next,page,TRUE
5071,1,2,big hug,big,hug,big,hug,TRUE
5084,2,3,a bigger mess,bigger,mess,bigger,mess,TRUE
5107,3,6,and a good night ah hug,good,hug,good,hug,FALSE
5168,3,4,no the ladybugy bug,ladybugy,bug,ladybugy,bug,TRUE
5169,1,2,ladybugy bug,ladybugy,bug,ladybugy,bug,TRUE
5170,1,2,ladybugy bug,ladybugy,bug,ladybugy,bug,TRUE
5179,2,4,a big green bug,big,bug,big,bug,FALSE
5179,3,4,a big green bug,green,bug,green,bug,TRUE
5197,2,4,a big blue fish,big,fish,big,fish,FALSE
5197,3,4,a big blue fish,blue,fish,blue,fish,TRUE
5198,3,4,uh a b l,b,l,benefit,l,TRUE
5199,2,3,a d l,d,l,d,l,TRUE
5200,4,5,that's a funny one,funny,one,funny,one,TRUE
5205,4,5,it's a big one,big,one,big,one,TRUE
5207,4,5,it's a big mouse,big,mouse,big,mouse,TRUE
5209,2,3,a h l,h,l,h,l,TRUE
5213,4,5,up a little pink pig,pink,pig,pink,pig,TRUE
5221,2,5,a big xxx poodles,big,poodles,big,poodle,FALSE
5223,2,3,a h l,h,l,h,l,TRUE
5254,3,4,this is xxx and,x,xx,x,xx,TRUE
5267,4,5,this is how i dance,i,dance,i,dance,TRUE
5297,4,5,that's my funny dance,funny,dance,funny,dance,TRUE
5349,7,4,it's the one with the blue,blue,one,blue,one,FALSE
5351,3,4,is that xxx,x,xx,x,xx,TRUE
5369,4,5,this is a good place,good,place,good,place,TRUE
5375,1,5,big big big xxx,big,xx,big,xx,FALSE
5375,2,5,big big big xxx,big,xx,big,xx,FALSE
5375,3,4,big big big xxx,big,x,big,x,TRUE
5380,4,5,is this the right match,right,match,right,match,TRUE
5381,1,2,happy clown,happy,clown,happy,clown,TRUE
5433,4,5,where's the other one,other,one,other,one,TRUE
5455,7,8,i'm i'm making the easy ones only,easy,ones,easy,one,TRUE
5521,4,5,ears it has funny ears ears,funny,ears,funny,ear,TRUE
5571,1,3,um uh building,um,building,um,building,FALSE
5571,2,3,um uh building,uh,building,uh,building,TRUE
5629,5,6,because it has a blue book,blue,book,blue,book,TRUE
5702,1,2,short snake,short,snake,short,snake,TRUE
5777,4,5,i'm a good mover,good,mover,good,mover,TRUE
5794,1,2,snappy snap,snappy,snap,snappy,snap,TRUE
5830,4,5,it is a owl pokemon,owl,pokemon,owl,pokemon,TRUE
5873,3,4,only two more left,more,left,more,left,TRUE
5894,1,2,smarty pants,smarty,pants,smarty,pants,TRUE
5927,3,4,go here crazy head,crazy,head,crazy,head,TRUE
5928,4,5,no maybe the other way,other,way,other,way,TRUE
5963,1,2,um barney not red,um,barney,um,barney,TRUE
5963,4,2,um barney not red,red,barney,red,barney,FALSE
5973,2,3,click adick adicky,adick,adicky,adick,adicky,TRUE
5976,4,5,it is a flat tire,flat,tire,flat,tire,TRUE
6016,3,4,in my whole body there is blood,whole,body,whole,body,TRUE
6082,5,7,want to be the cute kitty cat,cute,cat,cute,cat,FALSE
6085,5,6,we could be the snuggle bunnies,snuggle,bunnies,snuggle,bunny,TRUE
6128,4,5,where is your other ear,other,ear,other,ear,TRUE
6129,4,5,here is the pink ear,pink,ear,pink,ear,TRUE
6160,7,8,because they don't have two orange ears,orange,ears,orange,ear,TRUE
6163,5,6,and there was a pink one,pink,one,pink,one,TRUE
6168,1,2,last time someone put it on the xxx these on to not put it down,last,time,last,time,TRUE
6234,4,5,you want a hot egg,hot,egg,hot,egg,TRUE
6237,4,5,this is the warm burner,warm,burner,warm,burner,TRUE
6238,2,3,the warm burner,warm,burner,warm,burner,TRUE
6274,3,4,you want green beans,green,beans,green,bean,TRUE
6276,3,4,you want green beans,green,beans,green,bean,TRUE
6277,3,4,you want green beans,green,beans,green,bean,TRUE
6294,3,4,want a hot dog,hot,dog,hot,dog,TRUE
6295,3,4,want a hot dog,hot,dog,hot,dog,TRUE
6297,4,5,you want four hot dog,hot,dog,hot,dog,TRUE
6304,2,3,want hot soup,hot,soup,hot,soup,TRUE
6305,5,6,hey there is a sticky guy,sticky,guy,sticky,guy,TRUE
6331,4,5,come on sticky yucky tick,yucky,tick,yucky,tick,TRUE
6365,2,3,your hot dog is ready,hot,dog,hot,dog,TRUE
6366,2,3,the hot dog is ready,hot,dog,hot,dog,TRUE
6376,3,4,get the hot dog people fall down the ocean,hot,dog,hot,dog,TRUE
6383,1,2,hot dog,hot,dog,hot,dog,TRUE
6504,1,2,black stuff,black,stuff,black,stuff,TRUE
6506,4,5,is this my ear drum,ear,drum,ear,drum,TRUE
6536,4,5,i want a big song,big,song,big,song,TRUE
6603,1,2,faster music,faster,music,faster,music,TRUE
6647,2,3,how many fairies do we need to find,many,fairies,many,fairy,TRUE
6674,3,4,i do better ones,better,ones,better,one,TRUE
6684,2,3,that yucky tape,yucky,tape,yucky,tape,TRUE
6685,4,5,i want the yucky tape,yucky,tape,yucky,tape,TRUE
6687,2,3,the yucky tape's xxx,yucky,tape,yucky,tape,TRUE
6693,5,8,i can reach up high and xxx,high,xx,high,xx,FALSE
6699,3,4,remember that other tape of my favorite,other,tape,other,tape,TRUE
6712,5,6,we can do the crazy dance,crazy,dance,crazy,dance,TRUE
6768,1,2,free marker,free,marker,free,marker,TRUE
6779,4,5,i got a whole family,whole,family,whole,family,TRUE
6788,6,7,i have to do a whole thing,whole,thing,whole,thing,TRUE
6810,5,6,yay i won the first game,first,game,first,game,TRUE
6815,4,5,oh this says free q,free,q,free,q,TRUE
6844,2,3,the wooden xxx,wooden,x,wooden,x,TRUE
6903,5,6,i was taller the other day,other,day,other,day,TRUE
6905,1,2,whole world,whole,world,whole,world,TRUE
6948,3,4,i do better ones,better,ones,better,one,TRUE
6964,1,2,okay galit,okay,galit,okay,galit,TRUE
6981,2,3,what loud clock was that,loud,clock,lould,clock,TRUE
6984,5,6,let's get a new clock,new,clock,new,clock,TRUE
6985,6,7,i'll go get a new clock,new,clock,new,clock,TRUE
7007,2,3,no more sleep,more,sleep,more,sleep,TRUE
7030,7,8,then let's go get a different clock,different,clock,different,clock,TRUE
7036,5,6,ooh it's a soft clock,soft,clock,soft,clock,TRUE
7037,4,5,it's a soft clock,soft,clock,soft,clock,TRUE
7038,5,6,let's get a soft clock,soft,clock,soft,clock,TRUE
7081,4,5,okay now my favorite one is,favorite,one,favorite,one,TRUE
7086,5,6,i can do a loud one,loud,one,loud,one,TRUE
7095,6,7,can i please have a rotten tomato,rotten,tomato,rotten,tomato,TRUE
7096,6,7,can i please have a rotten egg,rotten,egg,rotten,egg,TRUE
7099,4,5,but without that plastic thing on it that you can't eat it that way,plastic,thing,plastic,thing,TRUE
7169,2,4,a hard boiled egg,hard,egg,hard,egg,FALSE
7198,5,6,mama she made me rip zevy's fan,rip,zevy,rip,zevy,TRUE
7219,1,2,apple poop please,apple,poop,apple,poop,TRUE
7220,1,2,apple juice please,apple,juice,apple,juice,TRUE
7221,3,5,xxx my old apple juice,old,juice,old,juice,FALSE
7249,4,5,look at the little man,little,man,little,man,TRUE
7266,5,7,oh and then that cute little squirrel,cute,squirrel,cute,squirrel,FALSE
7266,6,7,oh and then that cute little squirrel,little,squirrel,little,squirrel,TRUE
7335,4,5,you put too much water,much,water,much,water,TRUE
7343,4,5,she cracked the whole egg,whole,egg,whole,egg,TRUE
7374,6,7,it was even hotter than hot soup,hot,soup,hot,soup,TRUE
7401,3,4,i learned second position,second,position,second,position,TRUE
7404,1,2,third position,third,position,third,position,TRUE
7426,1,3,um arabesque f,um,f,um,f,FALSE
7445,3,4,yes snappy little bugs,little,bugs,little,bug,TRUE
7447,1,3,snappy little bugs,snappy,bugs,snappy,bug,FALSE
7447,2,3,snappy little bugs,little,bugs,little,bug,TRUE
7462,1,2,ooh dragon flies,ooh,dragon,ooh,dragon,TRUE
7475,1,2,ew spider,ew,spider,ew,spider,TRUE
7507,2,3,the blue ones and orange ones keep flying,blue,ones,blue,one,TRUE
7507,5,6,the blue ones and orange ones keep flying,orange,ones,orange,one,TRUE
7523,6,7,he can slither up a big tree,big,tree,big,tree,TRUE
7524,3,5,with a huge apple up,huge,up,huge,up,FALSE
7525,4,5,that's a huge apple,huge,apple,huge,apple,TRUE
7540,3,4,look at beetle run fast,beetle,run,beetle,run,TRUE
7605,1,2,d l o l g l,d,l,would,l,TRUE
7605,4,6,d l o l g l,l,l,l,l,FALSE
7620,1,3,black orange white and pink,black,white,black,white,FALSE
7620,2,3,black orange white and pink,orange,white,orange,white,TRUE
7625,1,2,d l,d,l,would,l,TRUE
7626,1,2,d l,d,l,would,l,TRUE
7629,1,2,d l,d,l,would,l,TRUE
7634,6,8,b l i l r l d l,l,l,l,l,FALSE
7663,3,4,but the best vegetable that they like are carrots,best,vegetable,best,vegetable,TRUE
7671,5,6,oh it's a long word,long,word,long,word,TRUE
7677,3,4,at the new schul f there was a mouse,new,schul,new,schul,TRUE
7689,4,5,that's a cute mouse,cute,mouse,cute,mouse,TRUE
7698,1,2,d l,d,l,would,l,TRUE
7703,4,5,it's a long word lady bug,long,word,long,word,TRUE
7704,6,7,let's see all the other animals for color,other,animals,other,animal,TRUE
7716,3,4,they're little foot prints,little,foot,litle,tfoo,TRUE
7722,5,6,f l r o g l,g,l,g,l,TRUE
7723,4,6,oh that's froggie's feet,froggie,feet,froggie,foot,FALSE
7727,6,8,f l r l o l g l,l,l,l,l,FALSE
7792,6,7,her baba got a very big ladder,big,ladder,big,ladder,TRUE
7794,6,7,her father got a very long ladder,long,ladder,long,ladder,TRUE
7799,5,6,the ladder towards a big mountain,big,mountain,big,mountain,TRUE
7830,7,8,and then he was just the right size,right,size,right,size,TRUE
7876,5,6,until it was a full moon,full,moon,full,moon,TRUE
7877,5,6,until it was a full moon again,full,moon,full,moon,TRUE
7893,5,6,it doesn't have enough batteries in it,enough,batteries,enough,battery,TRUE
7900,5,7,i like reading my other elmo books,other,books,other,book,FALSE
7901,5,6,oh is this the wrong page,wrong,page,wrong,page,TRUE
7903,1,2,sunny day,sunny,day,sunny,day,TRUE
7905,1,2,sesame street,sesame,street,sesame,street,TRUE
7906,3,4,now the other one,other,one,other,one,TRUE
7917,3,4,now the other page right now,other,page,other,page,TRUE
7921,3,4,now the other page,other,page,other,page,TRUE
7922,4,5,there's no other page,other,page,other,page,TRUE
7946,2,6,eight little nine little honey bees,little,bees,little,be,FALSE
7946,4,5,eight little nine little honey bees,little,honey,little,honey,TRUE
7958,1,3,itsy bitsy spider,itsy,spider,itsy,spider,FALSE
7958,2,3,itsy bitsy spider,bitsy,spider,bitsy,spider,TRUE
7962,2,3,maybe zevi n,zevi,n,zevi,n,TRUE
